root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:38:17.039289 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3982420899:3982421007, ack 643417622, win 313, length 108
20:38:17.039375 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:38:17.039453 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:38:17.039516 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:38:17.039679 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 288:460, ack 1, win 313, length 172
20:38:17.039747 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 460:496, ack 1, win 313, length 36
20:38:17.039832 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 496:644, ack 1, win 313, length 148
20:38:17.039894 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 644:680, ack 1, win 313, length 36
20:38:17.039970 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 680:828, ack 1, win 313, length 148
20:38:17.059837 IP 198.96.85.163.26087 > 157.245.94.33.22: Flags [.], ack 828, win 2047, length 0
20:38:17.059917 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 828:1968, ack 1, win 313, length 1140
20:38:17.060143 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 1968:2100, ack 1, win 313, length 132
20:38:17.060241 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2100:2136, ack 1, win 313, length 36
20:38:17.060348 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2136:2284, ack 1, win 313, length 148
20:38:17.060415 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2284:2320, ack 1, win 313, length 36
20:38:17.060505 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2320:2468, ack 1, win 313, length 148
20:38:17.060574 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2468:2504, ack 1, win 313, length 36
20:38:17.060660 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2504:2652, ack 1, win 313, length 148
20:38:17.060724 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2652:2688, ack 1, win 313, length 36
20:38:17.060808 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2688:2836, ack 1, win 313, length 148
20:38:17.060963 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 2872:3020, ack 1, win 313, length 148
20:38:17.061169 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3056:3204, ack 1, win 313, length 148
20:38:17.061403 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3240:3388, ack 1, win 313, length 148
20:38:17.061601 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3424:3572, ack 1, win 313, length 148
20:38:17.061787 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3608:3756, ack 1, win 313, length 148
20:38:17.081675 IP 198.96.85.163.26087 > 157.245.94.33.22: Flags [.], ack 3756, win 2051, length 0
20:38:17.081755 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 3756:4896, ack 1, win 313, length 1140
20:38:17.081995 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 4896:5028, ack 1, win 313, length 132
20:38:17.082130 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5028:5064, ack 1, win 313, length 36
20:38:17.082282 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5064:5212, ack 1, win 313, length 148
20:38:17.082348 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5212:5248, ack 1, win 313, length 36
20:38:17.082429 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5248:5396, ack 1, win 313, length 148
20:38:17.082525 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5396:5432, ack 1, win 313, length 36
20:38:17.082637 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5432:5580, ack 1, win 313, length 148
20:38:17.082699 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5580:5616, ack 1, win 313, length 36
20:38:17.082775 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5616:5764, ack 1, win 313, length 148
20:38:17.082906 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5800:5948, ack 1, win 313, length 148
20:38:17.083039 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 5984:6132, ack 1, win 313, length 148
20:38:17.083301 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 6168:6316, ack 1, win 313, length 148
